Time elapsed was 89958418ns or 0.089958418s,,0.089958418
Time elapsed was 85677379ns or 0.085677379s,,0.085677379
Time elapsed was 82465911ns or 0.082465911s,,0.082465911
Time elapsed was 80811894ns or 0.080811894s,,0.080811894
Time elapsed was 87259624ns or 0.087259624s,,0.087259624
Time elapsed was 101122811ns or 0.101122811s,,0.101122811
Time elapsed was 88113746ns or 0.088113746s,,0.088113746
Time elapsed was 86356833ns or 0.086356833s,,0.086356833
Time elapsed was 91257651ns or 0.091257651s,,0.091257651
Time elapsed was 80867715ns or 0.080867715s,,0.080867715
,,
,SUM,0.873891982
,AVERAGE,0.0873891982
