Time elapsed was 5841321ns or 0.005841321s,,0.005841321
Time elapsed was 6401440ns or 0.006401440s,,0.00640144
Time elapsed was 6375726ns or 0.006375726s,,0.006375726
Time elapsed was 6658287ns or 0.006658287s,,0.006658287
Time elapsed was 6382311ns or 0.006382311s,,0.006382311
Time elapsed was 6389809ns or 0.006389809s,,0.006389809
Time elapsed was 6370351ns or 0.006370351s,,0.006370351
Time elapsed was 6391653ns or 0.006391653s,,0.006391653
Time elapsed was 6401894ns or 0.006401894s,,0.006401894
Time elapsed was 6707672ns or 0.006707672s,,0.006707672
,,
,SUM,0.063920464
,AVERAGE,0.0063920464
